# schema=1; reviewed source: https://github.com/Strukturpiloten/containers/tree/main/images/podman
# id	image	declared_podman_version	distribution	mode	lane	architecture
podman-5.4-rootful	ghcr.io/strukturpiloten/podman-5.4-rootful:v5.4.2@sha256:d31736edc4e4138f06e28067b4b6dd5d6683bcd68cce1862c0a3f3054d5f55cd	5.4.2	upstream-source	rootful	container	amd64
podman-5.4-rootless	ghcr.io/strukturpiloten/podman-5.4-rootless:v5.4.2@sha256:8183696e5e3b3053a06635d541c990f3d373d86babe8a94017f6b0403e841897	5.4.2	upstream-source	rootless	container	amd64
podman-5.5-rootful	ghcr.io/strukturpiloten/podman-5.5-rootful:v5.5.2@sha256:9d3fb181cb3d34e9927b1ffd92f3c6527147762896d1f85b214a39d7201b7961	5.5.2	upstream-source	rootful	container	amd64
podman-5.5-rootless	ghcr.io/strukturpiloten/podman-5.5-rootless:v5.5.2@sha256:b36819591aaab379035ee9c09cbd2e8f9349e3032a1351759f4cb8d85c8e7245	5.5.2	upstream-source	rootless	container	amd64
podman-5.6-rootful	ghcr.io/strukturpiloten/podman-5.6-rootful:v5.6.2@sha256:5acb71893faa797bb9e14f313e4420e61364b502ec47b4e27805b13d08442a6e	5.6.2	upstream-source	rootful	container	amd64
podman-5.6-rootless	ghcr.io/strukturpiloten/podman-5.6-rootless:v5.6.2@sha256:c04a910c1fe6f77035b5aa3327a7acf63c54a0cae84e0a553ffbbde5b664ffca	5.6.2	upstream-source	rootless	container	amd64
podman-5.7-rootful	ghcr.io/strukturpiloten/podman-5.7-rootful:v5.7.1@sha256:25805cd316bbe0cd20236e0026920edc9ae697f09dcbf383575139ab8b474059	5.7.1	upstream-source	rootful	container	amd64
podman-5.7-rootless	ghcr.io/strukturpiloten/podman-5.7-rootless:v5.7.1@sha256:cd677d113466055bb4bfbecd494ed261fae159d26671274a0563878220968b5d	5.7.1	upstream-source	rootless	container	amd64
podman-5.8-rootful	ghcr.io/strukturpiloten/podman-5.8-rootful:v5.8.6@sha256:9a918e56a062b58d1c312829a9dfd73204c70e414d15c37710ea3761cfa9b78c	5.8.6	upstream-source	rootful	container	amd64
podman-5.8-rootless	ghcr.io/strukturpiloten/podman-5.8-rootless:v5.8.6@sha256:d6c517c56baffc0615523dc0f4f212917935c68c2bab60317fe8afae27583491	5.8.6	upstream-source	rootless	container	amd64
podman-6.0-rootful	ghcr.io/strukturpiloten/podman-6.0-rootful:v6.0.2@sha256:22f84e4858d208ad206e32b09203c6725308bc0b1b21b5a5c89817962b296ed1	6.0.2	upstream-source	rootful	container	amd64
podman-6.0-rootless	ghcr.io/strukturpiloten/podman-6.0-rootless:v6.0.2@sha256:f19b57674f8380f6c8f6037002364e5cea029e78a26a4e381803cc093808bcc3	6.0.2	upstream-source	rootless	container	amd64
podman-6.1-rootful	ghcr.io/strukturpiloten/podman-6.1-rootful:v6.1.0@sha256:2cf1d0fa3d0776e6a87bc4fd3391abd227001ab22885c5897c04970f3f38cb2c	6.1.0	upstream-source	rootful	container	amd64
podman-6.1-rootless	ghcr.io/strukturpiloten/podman-6.1-rootless:v6.1.0@sha256:dd00fadfff6e732728643df565a5db50f6d36dc3ec2d7f23a1fe87e905e08b5e	6.1.0	upstream-source	rootless	container	amd64
podman-alpine-3.24-rootful	ghcr.io/strukturpiloten/podman-alpine-3.24-rootful:v1.0.0@sha256:6ccf6355cdb81a0fbedc26abbb77070b861d0890bdfb8dfed67abf330f251d04	5.8.6-r0	alpine-3.24	rootful	container	amd64
podman-alpine-3.24-rootless	ghcr.io/strukturpiloten/podman-alpine-3.24-rootless:v1.0.0@sha256:0cf90595f9c9de238c789e5776b6a67167f71927c7bacc22416b86da1c16290d	5.8.6-r0	alpine-3.24	rootless	container	amd64
podman-arch-rootful	ghcr.io/strukturpiloten/podman-arch-rootful:v1.0.0@sha256:2b352f802035f1667f0bdb4f2f25715b97fd65f70d281b025049dc10e7d7d451	6.1.0-1	arch	rootful	container	amd64
podman-arch-rootless	ghcr.io/strukturpiloten/podman-arch-rootless:v1.0.0@sha256:baf9bcd19eebf6cc2c92b1ea8bba28ebb601983f7d7815c13f30b5187995e111	6.1.0-1	arch	rootless	container	amd64
podman-centos-stream-10-rootful	ghcr.io/strukturpiloten/podman-centos-stream-10-rootful:v1.0.0@sha256:dd14fc055097d2d8390d43a51344c28b9b198efd86e5a659335b2fe24748fa9a	6.1.0	centos-stream-10	rootful	container	amd64
podman-centos-stream-10-rootless	ghcr.io/strukturpiloten/podman-centos-stream-10-rootless:v1.0.0@sha256:9d2923012affc2ca77b8319c1efe01c792153cc5fb2800ca7e568c5b677f56de	6.1.0	centos-stream-10	rootless	container	amd64
podman-centos-stream-9-rootful	ghcr.io/strukturpiloten/podman-centos-stream-9-rootful:v1.0.0@sha256:506d90c4c17e79029fdfffc45598cf2cd1f974de76552987f55649a85bba2390	5.8.5	centos-stream-9	rootful	container	amd64
podman-centos-stream-9-rootless	ghcr.io/strukturpiloten/podman-centos-stream-9-rootless:v1.0.0@sha256:ea1475b50035577a95f5912dfcb596bc336acda918884f2cd828ae402704dfb2	5.8.5	centos-stream-9	rootless	container	amd64
podman-debian-11-rootful	ghcr.io/strukturpiloten/podman-debian-11-rootful:v1.0.0@sha256:cc83b00a240244db5e9b54d8c7ac482557bac39b43e963534f5222d14fff2990	3.0.1+dfsg1-3+deb11u5	debian-11	rootful	container	amd64
podman-debian-11-rootless	ghcr.io/strukturpiloten/podman-debian-11-rootless:v1.0.0@sha256:b968c1a325e5c075a5a1ea3970343fe7800af2efd244f0ba049ce3f970324f86	3.0.1+dfsg1-3+deb11u5	debian-11	rootless	container	amd64
podman-debian-12-rootful	ghcr.io/strukturpiloten/podman-debian-12-rootful:v1.0.0@sha256:6a66f36c0bb1c7845982488aaff5a45d062660749d1f89d5adddf278c5ad40e0	4.3.1+ds1-8+deb12u1+b3	debian-12	rootful	container	amd64
